camera,segment,kind,frame,onnx_score,native_score,score_delta,iou
lfw,all,rgb,rgb/Abdullah_Gul_0019.ppm,0.965268,0.965268,1.192e-7,1.000000
lfw,all,rgb,rgb/Abdullah_Nasseef_0001.ppm,0.883090,0.883090,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0001.ppm,0.944745,0.944745,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0002.ppm,0.956484,0.956484,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0003.ppm,0.966931,0.966931,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullatif_Sener_0001.ppm,0.949334,0.949334,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullatif_Sener_0002.ppm,0.957313,0.957313,1.192e-7,1.000000
lfw,all,rgb,rgb/Abel_Aguilar_0001.ppm,0.950188,0.950188,0.000e0,1.000000
lfw,all,rgb,rgb/Abel_Pacheco_0001.ppm,0.956358,0.956358,0.000e0,1.000000
lfw,all,rgb,rgb/Abel_Pacheco_0002.ppm,0.925090,0.925090,0.000e0,1.000000
lfw,all,rgb,rgb/Abel_Pacheco_0003.ppm,0.926739,0.926739,0.000e0,1.000000
lfw,all,rgb,rgb/Abel_Pacheco_0004.ppm,0.899768,0.899768,0.000e0,1.000000
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0001.ppm,0.951425,0.951425,0.000e0,1.000000
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0002.ppm,0.929098,0.929098,0.000e0,1.000000
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0003.ppm,0.880287,0.880287,0.000e0,1.000000
lfw,all,rgb,rgb/Abner_Martinez_0001.ppm,0.935963,0.935963,1.192e-7,1.000000
lfw,all,rgb,rgb/Abraham_Foxman_0001.ppm,0.962265,0.962265,1.192e-7,1.000000
lfw,all,rgb,rgb/Aby_Har-Even_0001.ppm,0.963399,0.963399,1.192e-7,1.000000
lfw,all,rgb,rgb/Adam_Ant_0001.ppm,0.940285,0.940285,1.192e-7,1.000000
lfw,all,rgb,rgb/Adam_Freier_0001.ppm,0.915904,0.915904,5.960e-8,1.000000
lfw,all,rgb,rgb/Adam_Herbert_0001.ppm,0.896764,0.896764,0.000e0,1.000000
lfw,all,rgb,rgb/Adam_Kennedy_0001.ppm,0.925058,0.925058,5.960e-8,1.000000
lfw,all,rgb,rgb/Adam_Mair_0001.ppm,0.910064,0.910064,0.000e0,1.000000
lfw,all,rgb,rgb/Adam_Rich_0001.ppm,0.969364,0.969364,5.960e-8,1.000000
lfw,all,rgb,rgb/Adam_Sandler_0001.ppm,0.926516,0.926515,1.192e-7,1.000000
lfw,all,rgb,rgb/Adam_Sandler_0002.ppm,0.958380,0.958380,0.000e0,1.000000
lfw,all,rgb,rgb/Adam_Sandler_0003.ppm,0.962147,0.962147,0.000e0,0.999999
lfw,all,rgb,rgb/Adam_Sandler_0004.ppm,0.892094,0.892094,0.000e0,1.000000
lfw,all,rgb,rgb/Adam_Scott_0001.ppm,0.814430,0.814430,0.000e0,1.000000
lfw,all,rgb,rgb/Adam_Scott_0002.ppm,0.983795,0.983795,0.000e0,1.000000
lfw,all,rgb,rgb/Adel_Al-Jubeir_0001.ppm,0.909702,0.909702,1.192e-7,1.000000
lfw,all,rgb,rgb/Adel_Al-Jubeir_0002.ppm,0.934631,0.934631,0.000e0,1.000000
lfw,all,rgb,rgb/Adel_Al-Jubeir_0003.ppm,0.929151,0.929151,1.192e-7,1.000000
lfw,all,rgb,rgb/Adelina_Avila_0001.ppm,0.955406,0.955406,0.000e0,1.000000
lfw,all,rgb,rgb/Adisai_Bodharamik_0001.ppm,0.934379,0.934379,1.192e-7,1.000000
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0001.ppm,0.922647,0.922647,0.000e0,1.000000
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0002.ppm,0.910310,0.910310,0.000e0,1.000000
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0003.ppm,0.940771,0.940771,0.000e0,1.000000
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0001.ppm,0.868564,0.868564,0.000e0,1.000000
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0002.ppm,0.929129,0.929129,1.788e-7,1.000000
lfw,all,rgb,rgb/Adoor_Gopalakarishnan_0001.ppm,0.899592,0.899592,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_Annus_0001.ppm,0.849861,0.849861,0.000e0,0.999999
lfw,all,rgb,rgb/Adrian_Fernandez_0001.ppm,0.941948,0.941948,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_McPherson_0001.ppm,0.811226,0.811226,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_McPherson_0002.ppm,0.945609,0.945609,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_Murrell_0001.ppm,0.963417,0.963417,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_Nastase_0001.ppm,0.909409,0.909409,0.000e0,1.000000
lfw,all,rgb,rgb/Adrian_Nastase_0002.ppm,0.927779,0.927779,0.000e0,0.999999
lfw,all,rgb,rgb/Adriana_Lima_0001.ppm,0.913155,0.913155,0.000e0,1.000000
lfw,all,rgb,rgb/Adriana_Perez_Navarro_0001.ppm,0.934955,0.934955,0.000e0,1.000000
lfw,all,rgb,rgb/Adrianna_Zuzic_0001.ppm,0.872331,0.872331,5.960e-8,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0001.ppm,0.930804,0.930804,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0002.ppm,0.916744,0.916744,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0003.ppm,0.941066,0.941066,1.192e-7,0.999999
lfw,all,rgb,rgb/Adrien_Brody_0004.ppm,0.945226,0.945226,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0005.ppm,0.951701,0.951701,1.192e-7,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0006.ppm,0.910301,0.910301,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0007.ppm,0.915371,0.915371,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0008.ppm,0.958739,0.958739,1.192e-7,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0009.ppm,0.922630,0.922630,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0010.ppm,0.967160,0.967160,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0011.ppm,0.948996,0.948996,0.000e0,1.000000
lfw,all,rgb,rgb/Adrien_Brody_0012.ppm,0.952061,0.952061,0.000e0,1.000000
lfw,all,rgb,rgb/Afton_Smith_0001.ppm,0.943368,0.943368,0.000e0,1.000000
lfw,all,rgb,rgb/Agbani_Darego_0001.ppm,0.959061,0.959061,0.000e0,0.999999
lfw,all,rgb,rgb/Agnelo_Queiroz_0001.ppm,0.962374,0.962374,0.000e0,1.000000
lfw,all,rgb,rgb/Agnes_Bruckner_0001.ppm,0.966554,0.966554,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmad_Jbarah_0001.ppm,0.932217,0.932217,1.192e-7,1.000000
lfw,all,rgb,rgb/Ahmad_Masood_0001.ppm,0.934372,0.934372,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmad_Masood_0002.ppm,0.917299,0.917299,1.192e-7,1.000000
lfw,all,rgb,rgb/Ahmed_Ahmed_0001.ppm,0.917873,0.917874,1.192e-7,1.000000
lfw,all,rgb,rgb/Ahmed_Chalabi_0001.ppm,0.917410,0.917410,1.192e-7,0.999999
lfw,all,rgb,rgb/Ahmed_Chalabi_0002.ppm,0.939283,0.939283,1.192e-7,0.999999
lfw,all,rgb,rgb/Ahmed_Chalabi_0003.ppm,0.948614,0.948614,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmed_Chalabi_0004.ppm,0.939964,0.939964,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmed_Chalabi_0005.ppm,0.928483,0.928483,5.960e-8,1.000000
lfw,all,rgb,rgb/Ahmed_Ghazi_0001.ppm,0.893542,0.893542,5.960e-8,1.000000
lfw,all,rgb,rgb/Ahmed_Ibrahim_Bilal_0001.ppm,0.938111,0.938111,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmed_Lopez_0001.ppm,0.946628,0.946628,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmed_Qureia_0001.ppm,0.930413,0.930413,1.192e-7,0.999999
lfw,all,rgb,rgb/Ahmet_Demir_0001.ppm,0.938991,0.938991,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0001.ppm,0.949964,0.949964,0.000e0,1.000000
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0002.ppm,0.947988,0.947988,0.000e0,1.000000
lfw,all,rgb,rgb/Ai_Sugiyama_0001.ppm,0.939728,0.939728,0.000e0,1.000000
lfw,all,rgb,rgb/Ai_Sugiyama_0002.ppm,0.955580,0.955580,0.000e0,1.000000
lfw,all,rgb,rgb/Ai_Sugiyama_0003.ppm,0.948093,0.948093,0.000e0,1.000000
lfw,all,rgb,rgb/Ai_Sugiyama_0004.ppm,0.913423,0.913423,0.000e0,1.000000
lfw,all,rgb,rgb/Ai_Sugiyama_0005.ppm,0.947889,0.947889,0.000e0,1.000000
lfw,all,rgb,rgb/Aicha_El_Ouafi_0001.ppm,0.938062,0.938062,0.000e0,1.000000
lfw,all,rgb,rgb/Aicha_El_Ouafi_0002.ppm,0.914196,0.914196,5.960e-8,0.999999
lfw,all,rgb,rgb/Aicha_El_Ouafi_0003.ppm,0.942091,0.942091,0.000e0,1.000000
lfw,all,rgb,rgb/Aidan_Quinn_0001.ppm,0.927134,0.927134,0.000e0,1.000000
lfw,all,rgb,rgb/Aileen_Riggin_Soule_0001.ppm,0.945877,0.945877,0.000e0,1.000000
lfw,all,rgb,rgb/Ain_Seppik_0001.ppm,0.959499,0.959499,1.192e-7,1.000000
lfw,all,rgb,rgb/Ainsworth_Dyer_0001.ppm,0.922863,0.922863,0.000e0,1.000000
lfw,all,rgb,rgb/Aishwarya_Rai_0001.ppm,0.936347,0.936347,0.000e0,0.999999
lfw,all,rgb,rgb/Aitor_Gonzalez_0001.ppm,0.904784,0.904784,0.000e0,1.000000
lfw,all,rgb,rgb/Aitor_Gonzalez_0002.ppm,0.913288,0.913288,0.000e0,1.000000
lfw,all,rgb,rgb/Aiysha_Smith_0001.ppm,0.921855,0.921855,0.000e0,1.000000
lfw,all,rgb,rgb/Ajit_Agarkar_0001.ppm,0.911339,0.911339,0.000e0,1.000000
lfw,all,rgb,rgb/Akbar_Al_Baker_0001.ppm,0.964972,0.964972,0.000e0,0.999999
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0001.ppm,0.901866,0.901866,0.000e0,1.000000
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0002.ppm,0.908140,0.908140,0.000e0,1.000000
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0003.ppm,0.915761,0.915761,0.000e0,1.000000
lfw,all,rgb,rgb/Akhmed_Zakayev_0001.ppm,0.921092,0.921092,0.000e0,1.000000
lfw,all,rgb,rgb/Akhmed_Zakayev_0002.ppm,0.940326,0.940326,1.192e-7,1.000000
lfw,all,rgb,rgb/Akhmed_Zakayev_0003.ppm,0.884731,0.884731,0.000e0,1.000000
lfw,all,rgb,rgb/Akiko_Morigami_0001.ppm,0.956429,0.956429,0.000e0,0.999999
lfw,all,rgb,rgb/Akmal_Taher_0001.ppm,0.947665,0.947665,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Cardenas_0001.ppm,0.881709,0.881709,5.960e-8,1.000000
lfw,all,rgb,rgb/Al_Davis_0001.ppm,0.906011,0.906011,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Davis_0002.ppm,0.879937,0.879937,0.000e0,0.999999
lfw,all,rgb,rgb/Al_Gore_0001.ppm,0.952571,0.952571,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Gore_0002.ppm,0.960309,0.960309,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Gore_0003.ppm,0.947766,0.947766,1.788e-7,1.000000
lfw,all,rgb,rgb/Al_Gore_0004.ppm,0.965552,0.965552,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Gore_0005.ppm,0.955279,0.955279,1.192e-7,0.999999
lfw,all,rgb,rgb/Al_Gore_0006.ppm,0.938753,0.938753,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Gore_0007.ppm,0.965441,0.965441,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Gore_0008.ppm,0.921590,0.921589,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Leiter_0001.ppm,0.947399,0.947399,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Pacino_0001.ppm,0.876432,0.876432,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Pacino_0002.ppm,0.940729,0.940729,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Pacino_0003.ppm,0.922626,0.922626,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0001.ppm,0.902392,0.902392,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0002.ppm,0.951487,0.951487,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0003.ppm,0.943655,0.943655,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0004.ppm,0.902663,0.902663,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0005.ppm,0.942492,0.942492,1.192e-7,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0006.ppm,0.949933,0.949933,0.000e0,1.000000
lfw,all,rgb,rgb/Al_Sharpton_0007.ppm,0.934338,0.934338,0.000e0,1.000000
lfw,all,rgb,rgb/Alain_Cervantes_0001.ppm,0.927552,0.927552,0.000e0,1.000000
lfw,all,rgb,rgb/Alain_Ducasse_0001.ppm,0.930848,0.930848,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Ball_0001.ppm,0.950529,0.950529,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Ball_0002.ppm,0.955127,0.955127,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Dershowitz_0001.ppm,0.928510,0.928510,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Dreher_0001.ppm,0.921186,0.921186,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Greenspan_0001.ppm,0.887074,0.887074,5.960e-8,1.000000
lfw,all,rgb,rgb/Alan_Greenspan_0002.ppm,0.890349,0.890349,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Greenspan_0003.ppm,0.953946,0.953946,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Greenspan_0004.ppm,0.888014,0.888014,5.960e-8,1.000000
lfw,all,rgb,rgb/Alan_Greenspan_0005.ppm,0.889236,0.889236,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Greer_0001.ppm,0.958521,0.958520,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Jackson_0001.ppm,0.948439,0.948439,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Mulally_0001.ppm,0.918440,0.918440,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Mulally_0002.ppm,0.893260,0.893260,1.192e-7,1.000000
lfw,all,rgb,rgb/Alan_Stonecipher_0001.ppm,0.956906,0.956906,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Tang_Kwong-wing_0001.ppm,0.930728,0.930728,0.000e0,0.999999
lfw,all,rgb,rgb/Alan_Trammell_0001.ppm,0.886555,0.886555,0.000e0,1.000000
lfw,all,rgb,rgb/Alan_Zemaitis_0001.ppm,0.976606,0.976606,0.000e0,1.000000
lfw,all,rgb,rgb/Alanis_Morissette_0001.ppm,0.911119,0.911119,0.000e0,1.000000
lfw,all,rgb,rgb/Alanna_Ubach_0001.ppm,0.936571,0.936571,0.000e0,1.000000
lfw,all,rgb,rgb/Alastair_Campbell_0001.ppm,0.915137,0.915137,0.000e0,1.000000
lfw,all,rgb,rgb/Alastair_Campbell_0002.ppm,0.844348,0.844348,5.960e-8,1.000000
lfw,all,rgb,rgb/Alastair_Campbell_0003.ppm,0.921281,0.921281,1.192e-7,1.000000
lfw,all,rgb,rgb/Alastair_Campbell_0004.ppm,0.942620,0.942620,0.000e0,1.000000
lfw,all,rgb,rgb/Alastair_Campbell_0005.ppm,0.913704,0.913704,1.788e-7,1.000000
lfw,all,rgb,rgb/Alastair_Johnston_0001.ppm,0.924332,0.924332,0.000e0,1.000000
lfw,all,rgb,rgb/Albaro_Recoba_0001.ppm,0.930562,0.930562,1.192e-7,1.000000
lfw,all,rgb,rgb/Albert_Brooks_0001.ppm,0.953872,0.953872,0.000e0,1.000000
lfw,all,rgb,rgb/Albert_Costa_0001.ppm,0.968536,0.968536,0.000e0,1.000000
lfw,all,rgb,rgb/Albert_Costa_0002.ppm,0.954337,0.954337,0.000e0,1.000000
lfw,all,rgb,rgb/Albert_Costa_0003.ppm,0.936058,0.936058,5.960e-8,1.000000
lfw,all,rgb,rgb/Albert_Costa_0004.ppm,0.931335,0.931335,0.000e0,1.000000
lfw,all,rgb,rgb/Albert_Costa_0005.ppm,0.944657,0.944657,1.192e-7,1.000000
lfw,all,rgb,rgb/Albert_Costa_0006.ppm,0.924961,0.924961,1.192e-7,1.000000
lfw,all,rgb,rgb/Albert_Montanes_0001.ppm,0.913633,0.913633,1.192e-7,1.000000
lfw,all,rgb,rgb/Albert_Pujols_0001.ppm,0.892172,0.892172,0.000e0,1.000000
lfw,all,rgb,rgb/Alberta_Lee_0001.ppm,0.926069,0.926069,5.960e-8,1.000000
lfw,all,rgb,rgb/Alberto_Acosta_0001.ppm,0.893335,0.893335,0.000e0,0.999999
lfw,all,rgb,rgb/Alberto_Fujimori_0001.ppm,0.960906,0.960906,0.000e0,1.000000
lfw,all,rgb,rgb/Alberto_Fujimori_0002.ppm,0.959686,0.959686,1.192e-7,1.000000
lfw,all,rgb,rgb/Alberto_Gonzales_0001.ppm,0.971310,0.971310,0.000e0,1.000000
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0001.ppm,0.983046,0.983046,0.000e0,1.000000
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0002.ppm,0.924692,0.924692,0.000e0,1.000000
lfw,all,rgb,rgb/Alberto_Sordi_0001.ppm,0.904773,0.904773,0.000e0,1.000000
lfw,all,rgb,rgb/Albrecht_Mentz_0001.ppm,0.941341,0.941341,0.000e0,0.999999
lfw,all,rgb,rgb/Albrecht_Mentz_0002.ppm,0.937586,0.937586,1.192e-7,1.000000
lfw,all,rgb,rgb/Aldo_Paredes_0001.ppm,0.883635,0.883635,0.000e0,1.000000
lfw,all,rgb,rgb/Aldo_Paredes_0002.ppm,0.865933,0.865933,1.192e-7,0.999999
lfw,all,rgb,rgb/Alec_Baldwin_0001.ppm,0.939086,0.939086,1.192e-7,1.000000
lfw,all,rgb,rgb/Alec_Baldwin_0002.ppm,0.940101,0.940101,1.192e-7,0.999999
lfw,all,rgb,rgb/Alec_Baldwin_0003.ppm,0.936265,0.936265,0.000e0,1.000000
lfw,all,rgb,rgb/Alec_Baldwin_0004.ppm,0.928970,0.928970,0.000e0,1.000000
lfw,all,rgb,rgb/Alecos_Markides_0001.ppm,0.947111,0.947111,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Atchugarry_0001.ppm,0.896889,0.896889,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Atchugarry_0002.ppm,0.891200,0.891199,1.192e-7,1.000000
lfw,all,rgb,rgb/Alejandro_Avila_0001.ppm,0.945873,0.945873,1.192e-7,1.000000
lfw,all,rgb,rgb/Alejandro_Avila_0002.ppm,0.847516,0.847516,5.960e-8,0.999999
lfw,all,rgb,rgb/Alejandro_Avila_0003.ppm,0.905155,0.905154,1.192e-7,1.000000
lfw,all,rgb,rgb/Alejandro_Fernandez_0001.ppm,0.939062,0.939062,5.960e-8,1.000000
lfw,all,rgb,rgb/Alejandro_Gonzalez_Inarritu_0001.ppm,0.936767,0.936767,5.960e-8,1.000000
lfw,all,rgb,rgb/Alejandro_Lembo_0001.ppm,0.873127,0.873127,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Lerner_0001.ppm,0.906445,0.906445,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Lopez_0001.ppm,0.919665,0.919665,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0001.ppm,0.947926,0.947926,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0002.ppm,0.963738,0.963738,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0003.ppm,0.894121,0.894121,1.192e-7,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0004.ppm,0.943680,0.943680,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0005.ppm,0.934995,0.934995,5.960e-8,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0006.ppm,0.911949,0.911949,5.960e-8,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0007.ppm,0.931256,0.931256,1.192e-7,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0008.ppm,0.969505,0.969505,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0009.ppm,0.948262,0.948262,5.960e-8,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0010.ppm,0.958250,0.958250,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0011.ppm,0.948664,0.948664,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0012.ppm,0.967796,0.967796,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0013.ppm,0.963526,0.963526,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0014.ppm,0.949092,0.949092,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0015.ppm,0.947734,0.947734,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0016.ppm,0.986490,0.986490,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0017.ppm,0.947986,0.947986,0.000e0,1.000000
lfw,all,rgb,rgb/Alejandro_Toledo_0018.ppm,0.861359,0.861359,2.980e-7,1.000000
