camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
lfw,all,rgb,rgb/Abdullatif_Sener_0002.ppm,0.2565,0.2640,0.2729,0.2819,0.0096,0.0123
lfw,all,rgb,rgb/Abel_Aguilar_0001.ppm,0.0925,0.1184,0.4681,0.5525,0.1341,0.0000
lfw,all,rgb,rgb/Abel_Pacheco_0001.ppm,0.3745,0.3211,0.1086,0.0568,0.0005,0.0002
lfw,all,rgb,rgb/Abel_Pacheco_0002.ppm,0.1637,0.1398,0.4267,0.3374,0.0190,0.0000
lfw,all,rgb,rgb/Abel_Pacheco_0003.ppm,0.1993,0.1222,0.4765,0.3251,0.0026,0.0000
lfw,all,rgb,rgb/Abel_Pacheco_0004.ppm,0.2231,0.2585,0.1750,0.1627,0.0156,0.0000
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0001.ppm,0.2855,0.2303,0.2445,0.1456,0.0892,0.0517
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0002.ppm,0.1018,0.1370,0.3657,0.5645,0.0302,0.0002
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0003.ppm,0.2212,0.2128,0.3519,0.2496,0.0542,0.0003
lfw,all,rgb,rgb/Abner_Martinez_0001.ppm,0.2290,0.2073,0.2526,0.2112,0.0518,0.0019
lfw,all,rgb,rgb/Abraham_Foxman_0001.ppm,0.2438,0.2910,0.2091,0.2668,0.0054,0.0002
lfw,all,rgb,rgb/Aby_Har-Even_0001.ppm,0.2572,0.2611,0.2104,0.1879,0.0012,0.0001
lfw,all,rgb,rgb/Adam_Ant_0001.ppm,0.3300,0.3354,0.0358,0.0244,0.0059,0.0004
lfw,all,rgb,rgb/Adam_Freier_0001.ppm,0.0871,0.1055,0.4939,0.5837,0.0017,0.0001
lfw,all,rgb,rgb/Adam_Herbert_0001.ppm,0.1190,0.1170,0.4484,0.4553,0.0104,0.0000
lfw,all,rgb,rgb/Adam_Kennedy_0001.ppm,0.3567,0.3817,0.0155,0.0122,0.0314,0.0080
lfw,all,rgb,rgb/Adam_Mair_0001.ppm,0.3686,0.3152,0.0653,0.0160,0.2180,0.0128
lfw,all,rgb,rgb/Adam_Rich_0001.ppm,0.3302,0.3033,0.1185,0.0706,0.0006,0.1476
lfw,all,rgb,rgb/Adam_Sandler_0001.ppm,0.3363,0.3686,0.0827,0.0899,0.5248,0.0015
lfw,all,rgb,rgb/Adam_Sandler_0002.ppm,0.3997,0.3374,0.1022,0.0997,0.1529,0.0058
lfw,all,rgb,rgb/Adam_Sandler_0003.ppm,0.1493,0.2404,0.3503,0.4182,0.0146,0.0036
lfw,all,rgb,rgb/Adam_Sandler_0004.ppm,0.2339,0.3180,0.1618,0.2737,0.0786,0.0002
lfw,all,rgb,rgb/Adam_Scott_0001.ppm,0.3060,0.2394,0.2279,0.0778,0.3357,0.0012
lfw,all,rgb,rgb/Adam_Scott_0002.ppm,0.3337,0.3441,0.0506,0.0427,0.0037,0.0003
lfw,all,rgb,rgb/Adel_Al-Jubeir_0001.ppm,0.3450,0.4331,0.0267,0.0467,0.0039,0.0002
lfw,all,rgb,rgb/Adel_Al-Jubeir_0002.ppm,0.3081,0.3716,0.0864,0.0903,0.0341,0.0051
lfw,all,rgb,rgb/Adel_Al-Jubeir_0003.ppm,0.4028,0.4711,0.0076,0.0078,0.0013,0.0163
lfw,all,rgb,rgb/Adelina_Avila_0001.ppm,0.2529,0.2587,0.1801,0.1287,0.0024,0.0000
lfw,all,rgb,rgb/Adisai_Bodharamik_0001.ppm,0.0409,0.0485,0.7056,0.6582,0.0078,0.0477
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0001.ppm,0.3531,0.3836,0.0846,0.0663,0.1090,0.0003
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0002.ppm,0.2353,0.2438,0.2125,0.1987,0.4933,0.0000
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0003.ppm,0.2757,0.2839,0.1817,0.2173,0.1466,0.0004
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0001.ppm,0.2901,0.3031,0.1535,0.1311,0.2780,0.0030
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0002.ppm,0.1970,0.1768,0.3722,0.2458,0.6680,0.3295
lfw,all,rgb,rgb/Adoor_Gopalakarishnan_0001.ppm,0.2259,0.2218,0.3174,0.1403,0.0043,0.0000
lfw,all,rgb,rgb/Adrian_Annus_0001.ppm,0.3875,0.3903,0.0501,0.0273,0.0064,0.0001
lfw,all,rgb,rgb/Adrian_Fernandez_0001.ppm,0.3664,0.3669,0.0375,0.0051,0.0933,0.0168
lfw,all,rgb,rgb/Adrian_McPherson_0001.ppm,0.3529,0.3785,0.0503,0.0157,0.0034,0.0074
lfw,all,rgb,rgb/Adrian_McPherson_0002.ppm,0.2999,0.2522,0.1963,0.1478,0.0038,0.0558
lfw,all,rgb,rgb/Adrian_Murrell_0001.ppm,0.2850,0.2554,0.2337,0.1940,0.0019,0.0005
lfw,all,rgb,rgb/Adrian_Nastase_0001.ppm,0.2827,0.2840,0.1454,0.0833,0.0032,0.0000
lfw,all,rgb,rgb/Adrian_Nastase_0002.ppm,0.2964,0.3708,0.0938,0.0877,0.0011,0.0001
lfw,all,rgb,rgb/Adriana_Lima_0001.ppm,0.3086,0.3012,0.0792,0.0500,0.0015,0.0001
lfw,all,rgb,rgb/Adriana_Perez_Navarro_0001.ppm,0.1035,0.1225,0.4683,0.5603,0.2267,0.0005
lfw,all,rgb,rgb/Adrianna_Zuzic_0001.ppm,0.2002,0.2613,0.1268,0.3039,0.0028,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0001.ppm,0.1416,0.1771,0.4831,0.4616,0.1276,0.0491
lfw,all,rgb,rgb/Adrien_Brody_0002.ppm,0.1596,0.1632,0.4127,0.3891,0.0318,0.0128
lfw,all,rgb,rgb/Adrien_Brody_0003.ppm,0.1318,0.1905,0.3419,0.4847,0.0938,0.0101
lfw,all,rgb,rgb/Adrien_Brody_0004.ppm,0.2192,0.2475,0.3015,0.2174,0.0169,0.0008
lfw,all,rgb,rgb/Adrien_Brody_0005.ppm,0.3232,0.3553,0.0958,0.0373,0.0457,0.2074
lfw,all,rgb,rgb/Adrien_Brody_0006.ppm,0.2265,0.1439,0.4341,0.3632,0.3495,0.0092
lfw,all,rgb,rgb/Adrien_Brody_0007.ppm,0.0868,0.0993,0.5532,0.5703,0.0958,0.0019
lfw,all,rgb,rgb/Adrien_Brody_0008.ppm,0.2530,0.3171,0.1796,0.2040,0.0227,0.1998
lfw,all,rgb,rgb/Adrien_Brody_0009.ppm,0.0856,0.1409,0.6415,0.5610,0.1496,0.0543
lfw,all,rgb,rgb/Adrien_Brody_0010.ppm,0.0372,0.1085,0.5962,0.6324,0.0069,0.0593
lfw,all,rgb,rgb/Adrien_Brody_0011.ppm,0.2285,0.2707,0.2181,0.2928,0.0802,0.4171
lfw,all,rgb,rgb/Adrien_Brody_0012.ppm,0.2832,0.2239,0.3362,0.3389,0.0022,0.1820
lfw,all,rgb,rgb/Afton_Smith_0001.ppm,0.2713,0.2668,0.2027,0.1979,0.2307,0.0060
lfw,all,rgb,rgb/Agbani_Darego_0001.ppm,0.3774,0.3272,0.0459,0.0248,0.0002,0.2586
lfw,all,rgb,rgb/Agnelo_Queiroz_0001.ppm,0.4637,0.3493,0.0215,0.0105,0.0479,0.1035
lfw,all,rgb,rgb/Agnes_Bruckner_0001.ppm,0.4064,0.3510,0.0373,0.0115,0.0010,0.0132
lfw,all,rgb,rgb/Ahmad_Jbarah_0001.ppm,0.2886,0.2808,0.2359,0.1062,0.0074,0.0001
lfw,all,rgb,rgb/Ahmad_Masood_0001.ppm,0.2496,0.2900,0.1893,0.1981,0.0060,0.1149
lfw,all,rgb,rgb/Ahmad_Masood_0002.ppm,0.6979,0.2956,0.3190,0.0375,0.0004,0.0258
lfw,all,rgb,rgb/Ahmed_Ahmed_0001.ppm,0.2386,0.2860,0.2201,0.1839,0.0011,0.0002
lfw,all,rgb,rgb/Ahmed_Chalabi_0001.ppm,0.2223,0.2406,0.2680,0.2412,0.0043,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0002.ppm,0.3267,0.4001,0.0736,0.0722,0.0122,0.0004
lfw,all,rgb,rgb/Ahmed_Chalabi_0003.ppm,0.2847,0.2783,0.1740,0.0974,0.0062,0.0000
lfw,all,rgb,rgb/Ahmed_Chalabi_0004.ppm,0.2728,0.2651,0.1422,0.1358,0.0071,0.0000
lfw,all,rgb,rgb/Ahmed_Chalabi_0005.ppm,0.3187,0.3569,0.0868,0.0569,0.0031,0.0007
lfw,all,rgb,rgb/Ahmed_Ghazi_0001.ppm,0.0737,0.1473,0.4421,0.5636,0.0603,0.0000
lfw,all,rgb,rgb/Ahmed_Ibrahim_Bilal_0001.ppm,0.2274,0.2374,0.4248,0.3389,0.0001,0.0191
lfw,all,rgb,rgb/Ahmed_Lopez_0001.ppm,0.3298,0.3530,0.0571,0.0456,0.0053,0.0000
lfw,all,rgb,rgb/Ahmed_Qureia_0001.ppm,0.3007,0.2326,0.3189,0.1393,0.0022,0.0294
lfw,all,rgb,rgb/Ahmet_Demir_0001.ppm,0.3136,0.3464,0.1502,0.1168,0.0038,0.2153
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0001.ppm,0.3865,0.3341,0.1284,0.0324,0.0031,0.0009
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0002.ppm,0.3354,0.3304,0.1367,0.0989,0.0095,0.0003
lfw,all,rgb,rgb/Ai_Sugiyama_0001.ppm,0.1244,0.1337,0.5701,0.3159,0.0446,0.0343
lfw,all,rgb,rgb/Ai_Sugiyama_0002.ppm,0.1649,0.1812,0.3450,0.2911,0.0808,0.0068
lfw,all,rgb,rgb/Ai_Sugiyama_0003.ppm,0.0711,0.1040,0.5286,0.4613,0.0918,0.0019
lfw,all,rgb,rgb/Ai_Sugiyama_0004.ppm,0.2887,0.2552,0.1829,0.0482,0.2524,0.3176
lfw,all,rgb,rgb/Ai_Sugiyama_0005.ppm,0.2127,0.1480,0.4424,0.2569,0.2302,0.0101
lfw,all,rgb,rgb/Aicha_El_Ouafi_0001.ppm,0.2790,0.2589,0.2482,0.1418,0.0051,0.0016
lfw,all,rgb,rgb/Aicha_El_Ouafi_0002.ppm,0.2786,0.2837,0.1852,0.0861,0.0035,0.0001
lfw,all,rgb,rgb/Aicha_El_Ouafi_0003.ppm,0.3215,0.3366,0.0789,0.0380,0.0571,0.0028
lfw,all,rgb,rgb/Aidan_Quinn_0001.ppm,0.3021,0.3055,0.1092,0.0551,0.0036,0.0000
lfw,all,rgb,rgb/Aileen_Riggin_Soule_0001.ppm,0.3102,0.2616,0.2334,0.1415,0.2009,0.0012
lfw,all,rgb,rgb/Ain_Seppik_0001.ppm,0.3253,0.3308,0.1210,0.0594,0.0087,0.0000
lfw,all,rgb,rgb/Ainsworth_Dyer_0001.ppm,0.3119,0.3126,0.0765,0.0323,0.0009,0.6071
lfw,all,rgb,rgb/Aishwarya_Rai_0001.ppm,0.1435,0.2401,0.2376,0.3936,0.0054,0.0246
lfw,all,rgb,rgb/Aitor_Gonzalez_0001.ppm,0.1242,0.1716,0.2999,0.3302,0.1027,0.0008
lfw,all,rgb,rgb/Aitor_Gonzalez_0002.ppm,0.1950,0.1969,0.2539,0.2735,0.1629,0.0010
lfw,all,rgb,rgb/Aiysha_Smith_0001.ppm,0.0681,0.1787,0.4617,0.7964,0.0287,0.0911
lfw,all,rgb,rgb/Ajit_Agarkar_0001.ppm,0.2728,0.2514,0.1770,0.2531,0.0609,0.0003
lfw,all,rgb,rgb/Akbar_Al_Baker_0001.ppm,0.2924,0.3042,0.2275,0.0647,0.0014,0.0031
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0001.ppm,0.3097,0.3369,0.0569,0.0593,0.0064,0.1367
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0002.ppm,0.2522,0.2462,0.2010,0.2397,0.0138,0.0214
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0003.ppm,0.2450,0.2823,0.2409,0.2517,0.0179,0.5459
lfw,all,rgb,rgb/Akhmed_Zakayev_0001.ppm,0.3424,0.3527,0.0949,0.0675,0.0446,0.0000
lfw,all,rgb,rgb/Akhmed_Zakayev_0002.ppm,0.2107,0.1889,0.3079,0.2261,0.0138,0.0000
lfw,all,rgb,rgb/Akhmed_Zakayev_0003.ppm,0.3064,0.3210,0.1018,0.0664,0.0175,0.0000
lfw,all,rgb,rgb/Akiko_Morigami_0001.ppm,0.2717,0.2160,0.2419,0.1696,0.0463,0.3781
lfw,all,rgb,rgb/Akmal_Taher_0001.ppm,0.2005,0.1902,0.3269,0.3013,0.0840,0.0009
lfw,all,rgb,rgb/Al_Cardenas_0001.ppm,0.3367,0.3505,0.0782,0.0060,0.0196,0.0000
lfw,all,rgb,rgb/Al_Davis_0001.ppm,0.1520,0.1643,0.4357,0.3248,0.0405,0.0001
lfw,all,rgb,rgb/Al_Davis_0002.ppm,0.2795,0.2355,0.2353,0.1667,0.2152,0.0033
lfw,all,rgb,rgb/Al_Gore_0001.ppm,0.2781,0.2639,0.1571,0.1859,0.0015,0.0008
lfw,all,rgb,rgb/Al_Gore_0002.ppm,0.3579,0.3091,0.0936,0.0471,0.0796,0.0001
lfw,all,rgb,rgb/Al_Gore_0003.ppm,0.2753,0.2690,0.1629,0.2008,0.3253,0.0008
lfw,all,rgb,rgb/Al_Gore_0004.ppm,0.3285,0.3269,0.0603,0.0483,0.2604,0.0001
lfw,all,rgb,rgb/Al_Gore_0005.ppm,0.3755,0.4093,0.0107,0.0150,0.1544,0.0034
lfw,all,rgb,rgb/Al_Gore_0006.ppm,0.2964,0.2891,0.1121,0.1343,0.0130,0.0048
lfw,all,rgb,rgb/Al_Gore_0007.ppm,0.2543,0.3037,0.1305,0.2026,0.0055,0.0000
lfw,all,rgb,rgb/Al_Gore_0008.ppm,0.0475,0.0255,0.7363,0.5326,0.0011,0.0000
lfw,all,rgb,rgb/Al_Leiter_0001.ppm,0.3845,0.3668,0.0382,0.0135,0.0036,0.0002
lfw,all,rgb,rgb/Al_Pacino_0001.ppm,0.3660,0.3380,0.0679,0.0190,0.1587,0.0002
lfw,all,rgb,rgb/Al_Pacino_0002.ppm,0.4296,0.3873,0.0486,0.0149,0.0052,0.0004
lfw,all,rgb,rgb/Al_Pacino_0003.ppm,0.2836,0.2847,0.1984,0.1591,0.2226,0.0006
lfw,all,rgb,rgb/Al_Sharpton_0001.ppm,0.3196,0.3008,0.0784,0.1216,0.0131,0.9615
lfw,all,rgb,rgb/Al_Sharpton_0002.ppm,0.2866,0.3198,0.0809,0.1663,0.2296,0.0309
lfw,all,rgb,rgb/Al_Sharpton_0003.ppm,0.3643,0.3512,0.0815,0.0334,0.0021,0.7648
lfw,all,rgb,rgb/Al_Sharpton_0004.ppm,0.1402,0.2150,0.3905,0.5337,0.0611,0.0177
lfw,all,rgb,rgb/Al_Sharpton_0005.ppm,0.2771,0.3178,0.1974,0.2240,0.5109,0.2042
lfw,all,rgb,rgb/Al_Sharpton_0006.ppm,0.3142,0.3255,0.1694,0.1330,0.0190,0.1469
lfw,all,rgb,rgb/Al_Sharpton_0007.ppm,0.2496,0.2727,0.2425,0.2802,0.0101,0.1274
lfw,all,rgb,rgb/Alain_Cervantes_0001.ppm,0.0811,0.0314,0.6004,0.6625,0.0074,0.0000
lfw,all,rgb,rgb/Alain_Ducasse_0001.ppm,0.2447,0.1929,0.2960,0.2344,0.0026,0.0007
lfw,all,rgb,rgb/Alan_Ball_0001.ppm,0.3005,0.3097,0.0955,0.1116,0.0499,0.0071
lfw,all,rgb,rgb/Alan_Ball_0002.ppm,0.2628,0.2512,0.1792,0.1815,0.0398,0.0005
lfw,all,rgb,rgb/Alan_Dershowitz_0001.ppm,0.1810,0.2140,0.2781,0.3426,0.0074,0.0000
lfw,all,rgb,rgb/Alan_Dreher_0001.ppm,0.2112,0.2605,0.2716,0.3395,0.0102,0.0000
lfw,all,rgb,rgb/Alan_Greenspan_0001.ppm,0.2908,0.2843,0.1464,0.1246,0.0050,0.4903
lfw,all,rgb,rgb/Alan_Greenspan_0002.ppm,0.2624,0.2541,0.2119,0.2068,0.1001,0.0296
lfw,all,rgb,rgb/Alan_Greenspan_0003.ppm,0.1145,0.1106,0.5260,0.6272,0.0194,0.3280
lfw,all,rgb,rgb/Alan_Greenspan_0004.ppm,0.1279,0.1126,0.5777,0.4391,0.0068,0.0150
lfw,all,rgb,rgb/Alan_Greenspan_0005.ppm,0.1787,0.0416,0.6621,0.5036,0.0011,0.1965
lfw,all,rgb,rgb/Alan_Greer_0001.ppm,0.3492,0.3095,0.0834,0.0393,0.0532,0.0001
lfw,all,rgb,rgb/Alan_Jackson_0001.ppm,0.1252,0.1261,0.6272,0.5802,0.4333,0.0180
lfw,all,rgb,rgb/Alan_Mulally_0001.ppm,0.2898,0.2908,0.1656,0.1207,0.0207,0.0026
lfw,all,rgb,rgb/Alan_Mulally_0002.ppm,0.3278,0.2450,0.2872,0.0707,0.0253,0.0031
lfw,all,rgb,rgb/Alan_Stonecipher_0001.ppm,0.3795,0.3630,0.0615,0.0172,0.0033,0.0003
lfw,all,rgb,rgb/Alan_Tang_Kwong-wing_0001.ppm,0.2167,0.2373,0.1819,0.2550,0.0059,0.0001
lfw,all,rgb,rgb/Alan_Trammell_0001.ppm,0.3077,0.3050,0.0626,0.0443,0.5345,0.0077
lfw,all,rgb,rgb/Alan_Zemaitis_0001.ppm,0.3321,0.3078,0.0640,0.0514,0.0025,0.0194
lfw,all,rgb,rgb/Alanis_Morissette_0001.ppm,0.3843,0.3819,0.0481,0.0361,0.0012,0.0038
lfw,all,rgb,rgb/Alanna_Ubach_0001.ppm,0.3389,0.3995,0.0334,0.0312,0.0007,0.0071
lfw,all,rgb,rgb/Alastair_Campbell_0001.ppm,0.2904,0.3186,0.1188,0.0726,0.0072,0.0009
lfw,all,rgb,rgb/Alastair_Campbell_0002.ppm,0.4811,0.3253,0.1845,0.1084,0.0138,0.0006
lfw,all,rgb,rgb/Alastair_Campbell_0003.ppm,0.2230,0.2699,0.2239,0.1370,0.0205,0.0000
lfw,all,rgb,rgb/Alastair_Campbell_0004.ppm,0.2867,0.3567,0.1232,0.0751,0.0163,0.0000
lfw,all,rgb,rgb/Alastair_Campbell_0005.ppm,0.2252,0.2856,0.2086,0.1497,0.0098,0.0002
lfw,all,rgb,rgb/Alastair_Johnston_0001.ppm,0.1942,0.2193,0.4332,0.3318,0.0539,0.0004
lfw,all,rgb,rgb/Albaro_Recoba_0001.ppm,0.1250,0.1318,0.4004,0.3614,0.2803,0.0000
lfw,all,rgb,rgb/Albert_Brooks_0001.ppm,0.3461,0.3427,0.0992,0.0461,0.2508,0.0454
lfw,all,rgb,rgb/Albert_Costa_0001.ppm,0.3557,0.2862,0.1286,0.0651,0.0449,0.0651
lfw,all,rgb,rgb/Albert_Costa_0002.ppm,0.3846,0.3754,0.0404,0.0381,0.0838,0.0306
lfw,all,rgb,rgb/Albert_Costa_0003.ppm,0.2934,0.2874,0.1941,0.1035,0.1139,0.6051
lfw,all,rgb,rgb/Albert_Costa_0004.ppm,0.3121,0.4100,0.0601,0.0565,0.0243,0.0008
lfw,all,rgb,rgb/Albert_Costa_0005.ppm,0.3567,0.3034,0.1144,0.0478,0.0626,0.0412
lfw,all,rgb,rgb/Albert_Costa_0006.ppm,0.3302,0.3679,0.0635,0.0548,0.0276,0.0824
lfw,all,rgb,rgb/Albert_Montanes_0001.ppm,0.2629,0.3464,0.0831,0.0905,0.0198,0.0003
lfw,all,rgb,rgb/Albert_Pujols_0001.ppm,0.1536,0.1340,0.4509,0.2611,0.0388,0.0029
lfw,all,rgb,rgb/Alberta_Lee_0001.ppm,0.0216,0.0416,0.6657,0.6443,0.0084,0.0006
lfw,all,rgb,rgb/Alberto_Acosta_0001.ppm,0.1651,0.2850,0.1753,0.3205,0.6103,0.0001
lfw,all,rgb,rgb/Alberto_Fujimori_0001.ppm,0.1346,0.1404,0.5238,0.3225,0.0845,0.0120
lfw,all,rgb,rgb/Alberto_Fujimori_0002.ppm,0.2581,0.2410,0.3259,0.2033,0.0317,0.0045
lfw,all,rgb,rgb/Alberto_Gonzales_0001.ppm,0.2651,0.2896,0.1429,0.1678,0.1116,0.0033
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0001.ppm,0.2685,0.3036,0.2142,0.1844,0.0019,0.1053
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0002.ppm,0.2796,0.0707,0.8520,0.1623,0.0001,0.0037
lfw,all,rgb,rgb/Alberto_Sordi_0001.ppm,0.0751,0.0678,0.5536,0.4797,0.1029,0.0001
